verh;f_p;begin_slice;end_slice; p_n;   p_n+k;    m(S);    e(S);  #(S<F);    f(S);f(S)-3m(S);   stable;    u(S); fne(S);   sum(A)
1.1286222570;17.00172757748;5002;5579;48623;54877;48623;579;396371;826675;680806;         ;54877;778052;22104793768
1.1287045226;17.00172757748;5002;5580;48623;54881;48623;580;396738;826675;680806;         ;54881;778052;22086949127
1.1292392489;17.00172757748;5002;5581;48623;54907;48623;581;397912;826675;680806;         ;54907;778052;22029865725
1.1294449129;17.00172757748;5002;5582;48623;54917;48623;582;398686;826675;680806;         ;54917;778052;21992231523
1.1294860457;17.00172757748;5002;5583;48623;54919;48623;583;399089;826675;680806;         ;54919;778052;21972636454
1.1299385065;17.00172757748;5002;5584;48623;54941;48623;584;400101;826675;680806;         ;54941;778052;21923429978
1.1301030377;17.00172757748;5002;5585;48623;54949;48623;585;400696;826675;680806;         ;54949;778052;21894499293
1.1303087016;17.00172757748;5002;5586;48623;54959;48623;586;401315;826675;680806;         ;54959;778052;21864401656
1.1305966312;17.00172757748;5002;5587;48623;54973;48623;587;402094;826675;680806;         ;54973;778052;21826524339
1.1307200296;17.00172757748;5002;5588;48623;54979;48623;588;402573;826675;680806;         ;54979;778052;21803233922
1.1308022952;17.00172757748;5002;5589;48623;54983;48623;589;402909;826675;680806;         ;54983;778052;21786896594
1.1311724904;17.00172757748;5002;5590;48623;55001;48623;590;403793;826675;680806;         ;55001;778052;21743913862
1.1313370216;17.00172757748;5002;5591;48623;55009;48623;591;404344;826675;680806;         ;55009;778052;21717122589
1.1315838184;17.00172757748;5002;5592;48623;55021;48623;592;405012;826675;680806;         ;55021;778052;21684642425
1.1321596775;17.00172757748;5002;5593;48623;55049;48623;593;406390;826675;680806;         ;55049;778052;21617639931
1.1322008103;17.00172757748;5002;5594;48623;55051;48623;594;406893;826675;680806;         ;55051;778052;21593182562
1.1323242087;17.00172757748;5002;5595;48623;55057;48623;595;407283;826675;680806;         ;55057;778052;21574219592
1.1324064743;17.00172757748;5002;5596;48623;55061;48623;596;407554;826675;680806;         ;55061;778052;21561042759
1.1326532711;17.00172757748;5002;5597;48623;55073;48623;597;408154;826675;680806;         ;55073;778052;21531868959
1.1327766695;17.00172757748;5002;5598;48623;55079;48623;598;408532;826675;680806;         ;55079;778052;21513489465
1.1332702630;17.00172757748;5002;5599;48623;55103;48623;599;409701;826675;680806;         ;55103;778052;21456649178
1.1333936614;17.00172757748;5002;5600;48623;55109;48623;600;410109;826675;680806;         ;55109;778052;21436810994
1.1335581926;16.00172757748;5002;5601;48623;55117;48623;601;362124;778052;632183;         ;55117;778052;21405789520
1.1337638566;16.00172757748;5002;5602;48623;55127;48623;602;362634;778052;632183;         ;55127;778052;21380991790
1.1341751846;16.00172757748;5002;5603;48623;55147;48623;603;363480;778052;632183;         ;55147;778052;21339856732
1.1345042470;16.00172757748;5002;5604;48623;55163;48623;604;364327;778052;632183;         ;55163;778052;21298673051
1.1346687782;16.00172757748;5002;5605;48623;55171;48623;605;364768;778052;632183;         ;55171;778052;21277230308
1.1352857701;16.00172757748;5002;5606;48623;55201;48623;606;366013;778052;632183;         ;55201;778052;21216694673
1.1354091685;16.00172757748;5002;5607;48623;55207;48623;607;366632;778052;632183;         ;55207;778052;21186597036
1.1355325669;16.00172757748;5002;5608;48623;55213;48623;608;366937;778052;632183;         ;55213;778052;21171767021
1.1356148325;16.00172757748;5002;5609;48623;55217;48623;609;367410;778052;632183;         ;55217;778052;21148768342
1.1356559653;16.00172757748;5002;5610;48623;55219;48623;610;367551;778052;632183;         ;55219;778052;21141912499
